Department,Complaint_Text
Electrical,Street lights in our area are not glowing since yesterday night
Electrical,The street light near my house stopped working suddenly
Electrical,Several street lights on the main road are not functioning
Electrical,Public street lights are not working causing safety concerns
Electrical,Street lights in our colony are completely switched off
Electrical,No street lighting available on this road after sunset
Electrical,Street lights stopped working after recent rainfall
Electrical,Street lights in our neighborhood are not glowing properly
Electrical,The street light pole near the park is not working
Electrical,Street lights have been nonfunctional for the past three days
Electrical,Request installation of a new street light in our lane
Electrical,Our street has no street light and it is very dark at night
Electrical,New street light is required near the bus stop
Electrical,Please install a street light on this unsafe road
Electrical,There is no street lighting facility in our area
Electrical,Residents are requesting a new street light installation
Electrical,Our colony needs additional street lights for safety
Electrical,No street light available near the school road
Electrical,Please provide a new street light near the junction
Electrical,A new street light is required near the market area
Electrical,Street lights are glowing continuously during daytime hours
Electrical,The street lights are not switching off in the morning
Electrical,Street lights remain on throughout the day unnecessarily
Electrical,Continuous glowing of street lights causing power wastage
Electrical,Street lights are on even during bright daylight
Electrical,Public lights are not turning off after sunrise
Electrical,Street lighting system is malfunctioning and stays on all day
Electrical,Street lights glow for 24 hours without stopping
Electrical,Street lights are not shutting down automatically
Electrical,Daytime street light operation needs immediate attention
Electrical,Street light timer is not working properly in our area
Electrical,Timer settings of street lights need correction
Electrical,Automatic timer for street lights is malfunctioning
Electrical,Street lights are turning on at incorrect times
Electrical,Timer-controlled street lights are not functioning correctly
Electrical,Street lights switch on too early due to timer issues
Electrical,Timer malfunction is affecting street light operation
Electrical,Street light timer requires immediate repair
Electrical,Timer-based lighting system is faulty
Electrical,Street lights operate irregularly due to timer failure
Electrical,Street lights flicker frequently and do not stay on
Electrical,Street lights are blinking continuously at night
Electrical,Unstable street lighting observed in our street
Electrical,Street lights keep turning on and off repeatedly
Electrical,Fluctuating street lights creating inconvenience
Electrical,Street light near our home keeps flickering
Electrical,Street lights are unstable and not providing proper lighting
Electrical,Repeated flickering of street lights reported
Electrical,Street lights are not providing consistent illumination
Electrical,Lighting fluctuations observed in street lamps
Electrical,Street light pole is damaged and not working
Electrical,Street light bulb is fused and needs replacement
Electrical,Street light fixture is broken and unsafe
Electrical,Street light pole is leaning and light is not working
Electrical,Damaged street light causing darkness at night
Electrical,Street light cover is broken and bulb is exposed
Electrical,Street light infrastructure is damaged after storm
Electrical,Street light pole has electrical fault
Electrical,Street light needs urgent maintenance and repair
Electrical,Faulty street light posing safety risk
Electrical,Street lighting is insufficient on this road
Electrical,Dim street lights making the road unsafe at night
Electrical,Street lights are too weak to illuminate the road
